"STATION","NAME","DATE","AWND","TMAX","TMIN"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-02","11.41","77","36"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-03","6.71","75","42"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-04","14.54","71","49"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-05","12.08","74","42"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-06","9.17","83","45"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-07","8.28","85","52"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-08","17.00","75","47"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-09","10.51","74","39"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-10","12.08","81","52"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-11","18.79","64","49"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-12","22.59","49","43"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-13","12.53","65","37"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-14","10.74","68","35"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-15","10.74","61","32"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-16","5.59","51","36"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-17","6.26","64","32"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-05-18","17.00","75","43"
